Invoice ID,Branch,City,Payment,cogs,gross margin percentage,gross income,Rating
423-57-2993,B,Mandalay,Ewallet,560.34,4.761904762,28.017,10
894-41-5205,C,Naypyitaw,Credit card,345.44,4.761904762,17.272,8.3
275-28-0149,A,Yangon,Cash,63.69,4.761904762,3.1845,6
101-17-6199,A,Yangon,Credit card,320.53,4.761904762,16.0265,7
423-80-0988,C,Naypyitaw,Ewallet,152.8,4.761904762,7.64,6.5
548-46-9322,B,Mandalay,Credit card,399,4.761904762,19.95,5.9
505-02-0892,B,Mandalay,Ewallet,340.56,4.761904762,17.028,5.6
234-65-2137,C,Naypyitaw,Cash,955.8,4.761904762,47.79,4.8
687-47-8271,A,Yangon,Credit card,989.8,4.761904762,49.49,8.7
796-32-9050,A,Yangon,Cash,307.68,4.761904762,15.384,6.5
105-31-1824,A,Yangon,Credit card,486.64,4.761904762,24.332,8.5
249-42-3782,A,Yangon,Ewallet,350.05,4.761904762,17.5025,5.5
316-55-4634,B,Mandalay,Credit card,400.25,4.761904762,20.0125,9.4
733-33-4967,C,Naypyitaw,Cash,166.8,4.761904762,8.34,6.3
608-27-6295,B,Mandalay,Credit card,317.34,4.761904762,15.867,9.8
414-12-7047,B,Mandalay,Ewallet,158.32,4.761904762,7.916,8.7
827-26-2100,A,Yangon,Ewallet,304.56,4.761904762,15.228,8.8
175-54-2529,A,Yangon,Credit card,177.36,4.761904762,8.868,9.6
139-52-2867,C,Naypyitaw,Credit card,157.57,4.761904762,7.8785,4.8
407-63-8975,A,Yangon,Ewallet,443.28,4.761904762,22.164,4.4
342-65-4817,C,Naypyitaw,Ewallet,260.4,4.761904762,13.02,9.9
130-98-8941,C,Naypyitaw,Cash,449.82,4.761904762,22.491,5.7
434-83-9547,C,Naypyitaw,Cash,307.76,4.761904762,15.388,7.7
851-28-6367,A,Yangon,Ewallet,155,4.761904762,7.75,8
824-88-3614,C,Naypyitaw,Ewallet,274.48,4.761904762,13.724,5.7
586-25-0848,A,Yangon,Credit card,86.38,4.761904762,4.319,6.7
895-66-0685,B,Mandalay,Ewallet,54.24,4.761904762,2.712,8
305-14-0245,B,Mandalay,Ewallet,755.92,4.761904762,37.796,7.5
732-04-5373,B,Mandalay,Cash,185.88,4.761904762,9.294,7
400-60-7251,A,Yangon,Ewallet,74.07,4.761904762,3.7035,9.9
593-65-1552,C,Naypyitaw,Credit card,279.24,4.761904762,13.962,5.9
284-34-9626,B,Mandalay,Credit card,231.12,4.761904762,11.556,7.2
437-58-8131,B,Mandalay,Ewallet,147.04,4.761904762,7.352,4.6
286-43-6208,C,Naypyitaw,Cash,790.2,4.761904762,39.51,9.2
641-43-2399,B,Mandalay,Ewallet,102.2,4.761904762,5.11,5.7
831-07-6050,A,Yangon,Credit card,163.55,4.761904762,8.1775,9.9
556-86-3144,C,Naypyitaw,Cash,74.29,4.761904762,3.7145,5
848-24-9445,C,Naypyitaw,Cash,87.4,4.761904762,4.37,4.9
856-22-8149,A,Yangon,Ewallet,25.29,4.761904762,1.2645,6.1
699-01-4164,C,Naypyitaw,Credit card,166,4.761904762,8.3,8.2
420-11-4919,C,Naypyitaw,Credit card,356.95,4.761904762,17.8475,5.5
606-80-4905,C,Naypyitaw,Credit card,114.9,4.761904762,5.745,6.8
542-41-0513,B,Mandalay,Cash,229.96,4.761904762,11.498,6.6
426-39-2418,C,Naypyitaw,Cash,429.87,4.761904762,21.4935,9.8
875-46-5808,B,Mandalay,Ewallet,259,4.761904762,12.95,8.7
394-43-4238,B,Mandalay,Credit card,88.85,4.761904762,4.4425,5.4
749-24-1565,A,Yangon,Ewallet,207.27,4.761904762,10.3635,7.9
672-51-8681,C,Naypyitaw,Credit card,599.85,4.761904762,29.9925,9.7
263-87-5680,C,Naypyitaw,Ewallet,285.3,4.761904762,14.265,7.8
573-58-9734,B,Mandalay,Ewallet,91.11,4.761904762,4.5555,5.1
817-69-8206,B,Mandalay,Credit card,897.57,4.761904762,44.8785,6.5
888-02-0338,A,Yangon,Ewallet,236.07,4.761904762,11.8035,5.9
677-11-0152,C,Naypyitaw,Cash,839.34,4.761904762,41.967,8.8
142-63-6033,B,Mandalay,Ewallet,461.8,4.761904762,23.09,4.9
656-16-1063,B,Mandalay,Credit card,139.26,4.761904762,6.963,4.4
891-58-8335,B,Mandalay,Cash,207.27,4.761904762,10.3635,6.5
802-43-8934,A,Yangon,Credit card,18.28,4.761904762,0.914,8.3
560-30-5617,B,Mandalay,Cash,123.85,4.761904762,6.1925,8.5
319-74-2561,A,Yangon,Cash,283.92,4.761904762,14.196,5.5
549-03-9315,B,Mandalay,Ewallet,758.96,4.761904762,37.948,8.7
790-29-1172,B,Mandalay,Credit card,172.02,4.761904762,8.601,7.9
239-36-3640,B,Mandalay,Ewallet,272.1,4.761904762,13.605,6.1
468-01-2051,B,Mandalay,Ewallet,434.56,4.761904762,21.728,5.4
389-25-3394,C,Naypyitaw,Cash,59.05,4.761904762,2.9525,9.4
279-62-1445,C,Naypyitaw,Cash,12.54,4.761904762,0.627,8.2
213-72-6612,A,Yangon,Cash,86.5,4.761904762,4.325,6.2
746-68-6593,C,Naypyitaw,Credit card,174.32,4.761904762,8.716,9.7
836-82-5858,B,Mandalay,Ewallet,624.33,4.761904762,31.2165,4
583-72-1480,C,Naypyitaw,Ewallet,148.24,4.761904762,7.412,9.7
466-61-5506,B,Mandalay,Cash,544.2,4.761904762,27.21,5.3
721-86-6247,A,Yangon,Ewallet,507.36,4.761904762,25.368,7.4
289-65-5721,B,Mandalay,Cash,162.74,4.761904762,8.137,6.5
545-46-3100,B,Mandalay,Credit card,31.77,4.761904762,1.5885,8.7
418-02-5978,B,Mandalay,Cash,756.81,4.761904762,37.8405,8
269-04-5750,B,Mandalay,Cash,295.28,4.761904762,14.764,6.7
157-13-5295,A,Yangon,Ewallet,519.4,4.761904762,25.97,6.5
645-78-8093,A,Yangon,Ewallet,186.28,4.761904762,9.314,4.1
211-30-9270,C,Naypyitaw,Credit card,87.05,4.761904762,4.3525,4.9
755-12-3214,C,Naypyitaw,Credit card,221.1,4.761904762,11.055,8.6
346-84-3103,B,Mandalay,Cash,66.1,4.761904762,3.305,4.3
478-06-7835,A,Yangon,Ewallet,89.69,4.761904762,4.4845,4.9
540-11-4336,A,Yangon,Credit card,224.46,4.761904762,11.223,5.6
448-81-5016,A,Yangon,Credit card,119.54,4.761904762,5.977,5.8
142-72-4741,C,Naypyitaw,Credit card,186.4,4.761904762,9.32,6
217-58-1179,A,Yangon,Cash,250.6,4.761904762,12.53,4.2
376-02-8238,B,Mandalay,Credit card,750.96,4.761904762,37.548,8.3
530-90-9855,A,Yangon,Cash,380.72,4.761904762,19.036,5.7
866-05-7563,B,Mandalay,Cash,244.2,4.761904762,12.21,4.8
604-70-6476,A,Yangon,Ewallet,89.7,4.761904762,4.485,6.8
799-71-1548,A,Yangon,Credit card,310.88,4.761904762,15.544,8.8
785-13-7708,B,Mandalay,Credit card,511.42,4.761904762,25.571,4.2
845-51-0542,B,Mandalay,Ewallet,418.95,4.761904762,20.9475,6.4
662-47-5456,C,Naypyitaw,Credit card,351.9,4.761904762,17.595,8.4
883-17-4236,C,Naypyitaw,Credit card,28.78,4.761904762,1.439,7.2
290-68-2984,A,Yangon,Cash,95,4.761904762,4.75,5.2
704-11-6354,A,Yangon,Cash,471.2,4.761904762,23.56,8.9
110-48-7033,B,Mandalay,Cash,130.48,4.761904762,6.524,9
366-93-0948,A,Yangon,Credit card,66.35,4.761904762,3.3175,9.7
729-09-9681,A,Yangon,Ewallet,155.46,4.761904762,7.773,8.7
151-16-1484,A,Yangon,Ewallet,129,4.761904762,6.45,6.5
380-94-4661,C,Naypyitaw,Credit card,263.76,4.761904762,13.188,6.9
850-41-9669,A,Yangon,Ewallet,675.54,4.761904762,33.777,6.2
821-07-3596,C,Naypyitaw,Ewallet,65.8,4.761904762,3.29,5.6
655-85-5130,B,Mandalay,Cash,153.2,4.761904762,7.66,5.7
447-15-7839,A,Yangon,Cash,222.4,4.761904762,11.12,4.2
154-74-7179,B,Mandalay,Ewallet,54.45,4.761904762,2.7225,7.9
253-12-6086,A,Yangon,Credit card,688.8,4.761904762,34.44,8.7
808-65-0703,C,Naypyitaw,Credit card,141.88,4.761904762,7.094,6.9
571-94-0759,B,Mandalay,Cash,746,4.761904762,37.3,9.5
144-51-6085,A,Yangon,Credit card,282.96,4.761904762,14.148,4.4
731-14-2199,A,Yangon,Ewallet,355.4,4.761904762,17.77,7
783-09-1637,B,Mandalay,Ewallet,337.15,4.761904762,16.8575,6.3
687-15-1097,C,Naypyitaw,Cash,42.24,4.761904762,2.112,9.7
126-54-1082,A,Yangon,Credit card,193.86,4.761904762,9.693,8.8
633-91-1052,A,Yangon,Cash,24.06,4.761904762,1.203,5.1
477-24-6490,B,Mandalay,Ewallet,598.26,4.761904762,29.913,7.9
566-19-5475,B,Mandalay,Cash,335.79,4.761904762,16.7895,6.2
526-86-8552,C,Naypyitaw,Cash,218.2,4.761904762,10.91,7.1
376-56-3573,C,Naypyitaw,Ewallet,381.68,4.761904762,19.084,6.4
537-72-0426,C,Naypyitaw,Cash,709.9,4.761904762,35.495,5.7
828-61-5674,A,Yangon,Credit card,440.2,4.761904762,22.01,9.6
136-08-6195,A,Yangon,Credit card,559.68,4.761904762,27.984,6.4
523-38-0215,C,Naypyitaw,Credit card,37,4.761904762,1.85,7.9
490-29-1201,A,Yangon,Cash,15.34,4.761904762,0.767,6.5
667-92-0055,A,Yangon,Ewallet,598.98,4.761904762,29.949,8.5
565-17-3836,A,Yangon,Cash,190.68,4.761904762,9.534,9.1
498-41-1961,B,Mandalay,Cash,333.4,4.761904762,16.67,7.6
593-95-4461,C,Naypyitaw,Cash,74.86,4.761904762,3.743,6.9
226-71-3580,C,Naypyitaw,Cash,213.75,4.761904762,10.6875,9.5
283-79-9594,B,Mandalay,Credit card,339.57,4.761904762,16.9785,5.2
430-60-3493,A,Yangon,Cash,664.16,4.761904762,33.208,4.2
139-20-0155,B,Mandalay,Credit card,403,4.761904762,20.15,7
558-80-4082,C,Naypyitaw,Ewallet,194.95,4.761904762,9.7475,6
278-97-7759,A,Yangon,Cash,62.48,4.761904762,3.124,4.7
316-68-6352,A,Yangon,Cash,72.72,4.761904762,3.636,7.1
585-03-5943,B,Mandalay,Ewallet,181.1,4.761904762,9.055,5.9
211-05-0490,C,Naypyitaw,Cash,259.6,4.761904762,12.98,7.5
727-75-6477,C,Naypyitaw,Cash,115.36,4.761904762,5.768,6.4
744-02-5987,A,Yangon,Ewallet,470.28,4.761904762,23.514,5.8
307-83-9164,A,Yangon,Cash,240.04,4.761904762,12.002,4.5
779-06-0012,C,Naypyitaw,Cash,88.61,4.761904762,4.4305,7.7
446-47-6729,C,Naypyitaw,Credit card,199.64,4.761904762,9.982,6.7
573-10-3877,B,Mandalay,Credit card,39.01,4.761904762,1.9505,4.7
735-06-4124,C,Naypyitaw,Cash,48.61,4.761904762,2.4305,4.4
439-54-7422,A,Yangon,Credit card,204.76,4.761904762,10.238,4.7
396-90-2219,B,Mandalay,Cash,119.68,4.761904762,5.984,8.6
411-77-0180,A,Yangon,Ewallet,505.4,4.761904762,25.27,4.3
286-01-5402,A,Yangon,Cash,281.61,4.761904762,14.0805,9.6
803-17-8013,A,Yangon,Cash,710.32,4.761904762,35.516,4.1
512-98-1403,A,Yangon,Ewallet,79.44,4.761904762,3.972,4.7
848-42-2560,A,Yangon,Cash,163.82,4.761904762,8.191,7.8
532-59-7201,B,Mandalay,Cash,479.58,4.761904762,23.979,5.5
181-94-6432,C,Naypyitaw,Ewallet,138.66,4.761904762,6.933,9.7
870-76-1733,A,Yangon,Credit card,71.15,4.761904762,3.5575,4.4
423-64-4619,A,Yangon,Cash,139.95,4.761904762,6.9975,5
227-07-4446,C,Naypyitaw,Cash,781.3,4.761904762,39.065,4.4
174-36-3675,C,Naypyitaw,Cash,198.74,4.761904762,9.937,5.2
428-83-5800,C,Naypyitaw,Cash,63.24,4.761904762,3.162,7.3
603-07-0961,C,Naypyitaw,Cash,373.95,4.761904762,18.6975,4.9
704-20-4138,C,Naypyitaw,Credit card,207.69,4.761904762,10.3845,8.1
787-15-1757,C,Naypyitaw,Ewallet,176.28,4.761904762,8.814,8.4
649-11-3678,C,Naypyitaw,Cash,206.37,4.761904762,10.3185,5.5
622-20-1945,C,Naypyitaw,Cash,39.42,4.761904762,1.971,8.4
372-94-8041,A,Yangon,Ewallet,91.56,4.761904762,4.578,9.8
563-91-7120,A,Yangon,Cash,308.85,4.761904762,15.4425,6.7
746-54-5508,A,Yangon,Credit card,129.12,4.761904762,6.456,9.4
276-54-0879,B,Mandalay,Ewallet,390.96,4.761904762,19.548,6.4
815-11-1168,A,Yangon,Cash,498.9,4.761904762,24.945,5.4
719-76-3868,C,Naypyitaw,Cash,377.04,4.761904762,18.852,8.6
730-61-8757,B,Mandalay,Credit card,204.52,4.761904762,10.226,4
340-66-0321,A,Yangon,Cash,145.44,4.761904762,7.272,7.6
868-81-1752,B,Mandalay,Cash,198.18,4.761904762,9.909,6.8
634-97-8956,A,Yangon,Credit card,98.7,4.761904762,4.935,9.1
566-71-1091,A,Yangon,Cash,385.1,4.761904762,19.255,5.5
442-48-3607,A,Yangon,Credit card,46.96,4.761904762,2.348,7.9
835-16-0096,C,Naypyitaw,Ewallet,73.5,4.761904762,3.675,8.5
527-09-6272,A,Yangon,Credit card,142.25,4.761904762,7.1125,9.1
898-04-2717,A,Yangon,Ewallet,687.6,4.761904762,34.38,7.5
692-27-8933,B,Mandalay,Cash,347.7,4.761904762,17.385,5.2
633-09-3463,C,Naypyitaw,Credit card,142.95,4.761904762,7.1475,9.5
374-17-3652,B,Mandalay,Credit card,385.38,4.761904762,19.269,8.9
378-07-7001,B,Mandalay,Credit card,144.27,4.761904762,7.2135,7.8
433-75-6987,B,Mandalay,Ewallet,391.79,4.761904762,19.5895,8.9
873-95-4984,B,Mandalay,Cash,538.3,4.761904762,26.915,7.7
416-13-5917,C,Naypyitaw,Ewallet,485.15,4.761904762,24.2575,9.3
150-89-8043,A,Yangon,Cash,133.95,4.761904762,6.6975,6.2
135-84-8019,A,Yangon,Ewallet,701.37,4.761904762,35.0685,7.6
441-94-7118,A,Yangon,Cash,71.95,4.761904762,3.5975,7.3
725-96-3778,C,Naypyitaw,Cash,714,4.761904762,35.7,4.7
531-80-1784,A,Yangon,Cash,182.14,4.761904762,9.107,5.1
400-45-1220,B,Mandalay,Credit card,135,4.761904762,6.75,4.8
860-79-0874,C,Naypyitaw,Credit card,993,4.761904762,49.65,6.6
834-61-8124,A,Yangon,Cash,361.83,4.761904762,18.0915,5.5
115-99-4379,B,Mandalay,Credit card,383.11,4.761904762,19.1555,8.5
565-67-6697,B,Mandalay,Cash,243,4.761904762,12.15,4.8
320-49-6392,C,Naypyitaw,Cash,30.24,4.761904762,1.512,8.4
889-04-9723,B,Mandalay,Credit card,356.56,4.761904762,17.828,7.8
632-90-0281,C,Naypyitaw,Credit card,375.5,4.761904762,18.775,9.3
554-42-2417,C,Naypyitaw,Cash,954.4,4.761904762,47.72,5.2
453-63-6187,B,Mandalay,Ewallet,82.5,4.761904762,4.125,6.5
578-80-7669,B,Mandalay,Cash,74.97,4.761904762,3.7485,5.6
612-36-5536,A,Yangon,Credit card,647.68,4.761904762,32.384,7.4
605-72-4132,C,Naypyitaw,Cash,755.76,4.761904762,37.788,9.1
471-41-2823,C,Naypyitaw,Ewallet,199.58,4.761904762,9.979,8
462-67-9126,A,Yangon,Cash,439.32,4.761904762,21.966,7.2
